Layer 92 ("path_92"): [141.0, 373.4] to [141.4, 374.0]
Layer 93 ("path_93"): [152.0, 380.0] to [152.3, 380.1]
Layer 94 ("path_94"): [160.9, 343.0] to [161.0, 343.0]
Layer 95 ("path_95"): [152.4, 342.7] to [153.0, 343.7]
Layer 96 ("path_96"): [272.7, 237.7] to [274.0, 238.6]
Layer 97 ("path_97"): [158.0, 121.1] to [251.6, 186.2]
Layer 98 ("path_98"): [388.9, 382.0] to [391.0, 384.0]
Layer 99 ("path_99"): [364.0, 393.0] to [364.3, 393.3]
Layer 100 ("path_100"): [292.1, 403.2] to [292.9, 403.8]
Layer 101 ("path_101"): [202.5, 216.5] to [202.5, 216.5]
Layer 102 ("path_102"): [168.6, 69.0] to [169.7, 70.3]
Layer 103 ("path_103"): [155.6, 117.6] to [156.6, 118.9]
Layer 104 ("path_104"): [159.7, 106.6] to [160.0, 107.0]
Layer 105 ("path_105"): [249.4, 259.8] to [250.0, 259.9]
Layer 106 ("path_106"): [262.6, 242.8] to [263.0, 243.0]
Layer 107 ("path_107"): [144.7, 419.0] to [145.0, 420.2]
Layer 108 ("path_108"): [139.6, 379.0] to [140.1, 379.7]
Layer 109 ("path_109"): [278.0, 121.0] to [279.7, 121.9]
Layer 110 ("path_110"): [242.5, 107.5] to [242.5, 107.5]
Layer 111 ("path_111"): [166.2, 100.5] to [211.2, 135.4]
Layer 112 ("path_112"): [393.2, 432.6] to [394.5, 433.9]
Layer 113 ("path_113"): [396.6, 318.4] to [397.9, 319.4]
Layer 114 ("path_114"): [386.8, 339.4] to [387.8, 339.8]
Layer 115 ("path_115"): [383.0, 302.0] to [383.4, 302.2]
Layer 116 ("path_116"): [391.7, 330.8] to [392.0, 331.0]
Layer 117 ("path_117"): [395.2, 332.1] to [396.1, 333.0]
Layer 118 ("path_118"): [397.7, 344.7] to [398.0, 345.0]
Layer 119 ("path_119"): [390.1, 381.8] to [390.9, 382.1]
Layer 120 ("path_120"): [378.0, 268.0] to [378.3, 268.2]
Layer 121 ("path_121"): [134.1, 140.0] to [149.9, 158.3]
Layer 122 ("path_122"): [137.0, 139.3] to [145.7, 141.0]
Layer 123 ("path_123"): [396.0, 332.2] to [396.3, 332.8]
Layer 124 ("path_124"): [386.7, 353.6] to [387.0, 354.0]
Layer 125 ("path_125"): [169.1, 140.1] to [217.0, 183.2]
Layer 126 ("path_126"): [169.8, 150.4] to [221.8, 193.3]
Layer 127 ("path_127"): [141.0, 162.6] to [142.3, 163.1]
Layer 128 ("path_128"): [148.0, 184.0] to [148.2, 184.0]
Layer 129 ("path_129"): [152.0, 192.0] to [152.2, 192.0]
Layer 130 ("path_130"): [160.0, 199.0] to [160.2, 199.0]
Layer 131 ("path_131"): [169.1, 175.3] to [169.8, 175.9]
Layer 132 ("path_132"): [146.5, 175.5] to [146.5, 175.5]
Layer 133 ("path_133"): [146.0, 167.9] to [146.1, 168.0]
Layer 134 ("path_134"): [157.8, 151.9] to [157.9, 152.6]
Layer 135 ("path_135"): [187.0, 220.0] to [187.1, 220.0]
Layer 136 ("path_136"): [175.0, 218.0] to [175.1, 218.0]
Layer 137 ("path_137"): [169.2, 154.2] to [169.6, 155.0]
Layer 138 ("path_138"): [179.4, 150.9] to [206.4, 178.2]
Layer 139 ("path_139"): [182.1, 150.7] to [196.7, 154.5]
